"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL398916";"";"None";"522.66";"1";"4.67";"20";"Cc1cccc(Cc2nc3cc(-c4nn([C@H]5CC[C@H](N6CCOCC6)CC5)c5ncnc(N)c45)ccc3[nH]2)c1";"IC50";"'='";"267.0";"nM";"6.57";"";"";"UO_0000065";"12.58";"0.23";"1.90";"5.93";"0";"CHEMBL941658";"Inhibition IGF1R phosphorylation in human MiaPaCa2 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MiaPaCa2";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139781";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL249711";"";"None";"543.08";"2";"5.01";"19";"Nc1ncnc2c1c(-c1ccc3[nH]c(Cc4cccc(Cl)c4)nc3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1";"IC50";"'='";"372.0";"nM";"6.43";"";"";"UO_0000065";"11.84";"0.23";"1.42";"5.80";"0";"CHEMBL941658";"Inhibition IGF1R phosphorylation in human MiaPaCa2 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MiaPaCa2";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139781";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL437584";"";"None";"538.66";"1";"4.37";"17";"COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](N5CCOCC5)CC4)c4ncnc(N)c34)cc2[nH]1";"IC50";"'='";"142.0";"nM";"6.85";"";"";"UO_0000065";"12.71";"0.23";"2.48";"5.71";"0";"CHEMBL941658";"Inhibition IGF1R phosphorylation in human MiaPaCa2 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MiaPaCa2";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139781";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL251732";"";"None";"543.08";"2";"5.01";"14";"Nc1ncnc2c1c(-c1ccc3nc(Cc4ccccc4Cl)[nH]c3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"12.97";"0.25";"2.04";"6.36";"0";"CHEMBL941658";"Inhibition IGF1R phosphorylation in human MiaPaCa2 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MiaPaCa2";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139781";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL439259";"";"None";"341.80";"0";"4.85";"K00614a, Quinolinyl-urea1";"COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12";"IC50";"'<'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL937059";"Inhibition of IGF1R autophosphorylation";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145498";"1";"Scientific Literature";"Proc Natl Acad Sci U S A";"2007";"None";"";"";""
"CHEMBL247892";"";"None";"371.44";"0";"4.22";"6b.10";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCc4cccnc4)c3)c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL248086";"";"None";"376.50";"1";"5.21";"6b.4";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCC4CCCCC4)c3)c12";"IC50";"'='";"1110.0";"nM";"5.96";"";"";"UO_0000065";"15.82";"0.29";"0.74";"9.10";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL392107";"";"None";"400.48";"0";"4.83";"6a.9";"COc1ccc(-c2nc(C3CCC3)n3ccnc(N)c23)cc1OCc1ccccc1";"IC50";"'='";"1350.0";"nM";"5.87";"";"";"UO_0000065";"14.66";"0.27";"1.04";"7.86";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL391868";"";"None";"413.48";"0";"3.54";"6m.2";"Nc1nccn2c1c(-c1cccc(OCc3ccccc3)c1)nc2[C@H]1C[C@@H](C(N)=O)C1";"IC50";"'='";"554.0";"nM";"6.26";"";"";"UO_0000065";"15.13";"0.28";"2.72";"5.76";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL393517";"";"None";"413.48";"0";"3.54";"6m.1";"Nc1nccn2c1c(-c1cccc(OCc3ccccc3)c1)nc2[C@H]1C[C@H](C(N)=O)C1";"IC50";"'='";"526.0";"nM";"6.28";"";"";"UO_0000065";"15.19";"0.28";"2.74";"5.79";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL394155";"";"None";"481.64";"1";"5.93";"6i.5";"Nc1nccn2c1c(-c1cccc(OCc3ccccc3)c1)nc2[C@H]1CC[C@H](CN2CCCC2)CC1";"IC50";"'='";"103.0";"nM";"6.99";"";"";"UO_0000065";"14.51";"0.27";"1.06";"10.17";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
